TimeWindow, Flight, SELECTEE, UNKNOWN, LOWRISK1, LOWRISK2, LOWRISK3, LOWRISK4, TOTAL
240, Flight60, 1, 137, 44, 11, 6, 3, 202
240, Flight61, 1, 9, 7, 4, 1, 0, 22
240, Flight62, 3, 84, 34, 7, 3, 6, 137
240, Flight63, 4, 93, 16, 3, 5, 1, 122
240, Flight64, 0, 11, 8, 5, 1, 2, 27
240, Flight65, 3, 54, 12, 4, 0, 2, 75
240, Flight66, 2, 35, 12, 3, 2, 2, 56
240, Flight67, 0, 10, 8, 2, 1, 1, 22
240, Flight68, 1, 61, 17, 4, 3, 1, 87
240, Flight69, 6, 92, 24, 12, 4, 6, 144
240, Flight70, 2, 53, 24, 3, 2, 4, 88
240, Flight71, 3, 34, 12, 3, 1, 2, 55
240, Flight72, 1, 10, 5, 4, 2, 1, 23
240, Flight73, 3, 71, 41, 6, 4, 6, 131
240, Flight74, 1, 73, 16, 3, 4, 4, 101
240, Flight75, 4, 43, 27, 9, 1, 4, 88
240, Flight76, 1, 15, 8, 1, 0, 2, 27
240, Flight77, 3, 94, 22, 7, 6, 3, 135
240, Flight78, 5, 68, 25, 5, 1, 1, 105
240, Flight79, 6, 81, 36, 6, 3, 5, 137
240, Flight80, 2, 38, 13, 8, 0, 2, 63
240, Flight81, 2, 29, 8, 3, 2, 0, 44
240, Flight82, 3, 41, 21, 8, 1, 3, 77
240, Flight83, 5, 59, 25, 15, 5, 4, 113
240, Flight84, 6, 56, 26, 8, 6, 5, 107
240, Flight85, 2, 73, 19, 9, 3, 4, 110
240, Flight86, 0, 47, 16, 6, 1, 1, 71
240, Flight87, 0, 25, 9, 7, 2, 2, 45
240, Flight88, 1, 48, 15, 3, 2, 3, 72
240, Flight89, 2, 39, 11, 3, 4, 1, 60
240, Flight90, 3, 39, 10, 2, 0, 1, 55
300, Flight31, 1, 12, 7, 3, 0, 0, 23
300, Flight32, 1, 16, 4, 3, 1, 1, 26
300, Flight33, 0, 5, 2, 1, 1, 0, 9
300, Flight34, 0, 17, 5, 1, 1, 0, 24
300, Flight35, 1, 18, 5, 1, 1, 1, 27
300, Flight36, 0, 1, 1, 0, 0, 0, 2
300, Flight37, 1, 11, 3, 1, 1, 1, 18
300, Flight39, 0, 3, 1, 0, 0, 0, 4
300, Flight40, 0, 5, 3, 1, 1, 1, 11
300, Flight42, 0, 1, 0, 0, 0, 0, 1
300, Flight43, 0, 6, 2, 1, 0, 0, 9
300, Flight45, 0, 4, 2, 0, 0, 0, 6
300, Flight46, 1, 5, 2, 1, 0, 0, 9
300, Flight48, 0, 6, 1, 1, 0, 0, 8
300, Flight49, 0, 1, 0, 0, 0, 0, 1
300, Flight50, 1, 10, 7, 3, 1, 1, 23
300, Flight52, 0, 6, 4, 1, 0, 1, 12
300, Flight53, 0, 14, 3, 2, 1, 1, 21
300, Flight54, 0, 11, 3, 1, 0, 0, 15
300, Flight55, 0, 1, 0, 0, 0, 0, 1
300, Flight56, 1, 8, 5, 1, 0, 1, 16
300, Flight58, 0, 3, 2, 0, 0, 0, 5
300, Flight59, 0, 6, 2, 1, 0, 0, 9
300, Flight61, 4, 36, 25, 14, 6, 2, 87
300, Flight62, 1, 17, 7, 1, 0, 0, 26
300, Flight63, 2, 48, 9, 2, 2, 1, 64
300, Flight64, 1, 41, 31, 16, 4, 6, 99
300, Flight65, 5, 75, 16, 8, 1, 2, 107
300, Flight66, 7, 77, 26, 8, 3, 7, 128
300, Flight67, 1, 42, 32, 10, 5, 2, 92
300, Flight68, 0, 43, 12, 3, 2, 0, 60
300, Flight69, 3, 54, 15, 8, 2, 3, 85
300, Flight70, 2, 40, 17, 3, 2, 4, 68
300, Flight71, 4, 54, 20, 4, 1, 2, 85
300, Flight72, 4, 37, 19, 14, 5, 4, 83
300, Flight73, 1, 14, 8, 1, 1, 1, 26
300, Flight74, 1, 63, 14, 3, 4, 3, 88
300, Flight75, 5, 35, 21, 8, 1, 3, 73
300, Flight76, 3, 45, 21, 3, 3, 2, 77
300, Flight77, 2, 41, 10, 3, 2, 2, 60
300, Flight78, 4, 62, 22, 4, 0, 1, 93
300, Flight79, 2, 26, 12, 2, 1, 1, 44
300, Flight80, 1, 70, 23, 14, 1, 1, 110
300, Flight81, 2, 96, 22, 10, 2, 1, 133
300, Flight82, 5, 57, 27, 9, 1, 3, 102
300, Flight83, 3, 34, 13, 9, 3, 2, 64
300, Flight84, 1, 13, 6, 2, 1, 1, 24
300, Flight85, 2, 60, 14, 9, 3, 4, 92
300, Flight86, 1, 63, 22, 6, 2, 2, 96
300, Flight87, 1, 57, 21, 13, 7, 5, 104
300, Flight88, 2, 70, 20, 5, 4, 2, 103
300, Flight89, 1, 78, 23, 6, 5, 1, 114
300, Flight90, 3, 72, 19, 4, 1, 3, 102
360, Flight61, 1, 8, 5, 3, 1, 0, 18
360, Flight63, 0, 1, 0, 0, 0, 0, 1
360, Flight64, 0, 9, 7, 3, 2, 1, 22
360, Flight65, 0, 5, 1, 0, 0, 0, 6
360, Flight66, 0, 9, 3, 2, 0, 0, 14
360, Flight67, 0, 8, 7, 2, 1, 0, 18
360, Flight68, 0, 2, 1, 0, 0, 0, 3
360, Flight69, 0, 1, 0, 0, 0, 0, 1
360, Flight70, 0, 1, 0, 0, 0, 0, 1
360, Flight71, 0, 4, 2, 0, 0, 0, 6
360, Flight72, 2, 6, 5, 3, 1, 2, 19
360, Flight74, 0, 3, 1, 0, 0, 0, 4
360, Flight75, 0, 2, 0, 0, 0, 0, 2
360, Flight76, 1, 6, 3, 1, 0, 0, 11
360, Flight77, 0, 1, 0, 0, 0, 0, 1
360, Flight78, 0, 4, 1, 0, 0, 0, 5
360, Flight80, 0, 7, 2, 1, 0, 0, 10
360, Flight81, 0, 16, 3, 2, 0, 0, 21
360, Flight82, 0, 3, 1, 0, 0, 0, 4
360, Flight83, 0, 2, 0, 0, 0, 0, 2
360, Flight85, 0, 3, 0, 0, 0, 0, 3
360, Flight86, 0, 4, 2, 0, 0, 0, 6
360, Flight87, 0, 8, 2, 1, 0, 1, 12
360, Flight88, 0, 5, 1, 0, 0, 0, 6
360, Flight89, 0, 8, 2, 1, 0, 0, 11
360, Flight90, 0, 8, 3, 1, 0, 0, 12
